end_position	rate(cM/Mb)
99999999	1.0
100000000	0.5e8
199999999	1.0
200000000	0.5e8
299999999	1.0
300000000	0.5e8
399999999	1.0
400000000	0.5e8
499999999	1.0
500000000	0.5e8
599999999	1.0
600000000	0.5e8
699999999	1.0
700000000	0.5e8
799999999	1.0
800000000	0.5e8
899999999	1.0
900000000	0.5e8
999999999	1.0
1000000000	0.5e8
1099999999	1.0
1100000000	0.5e8
1199999999	1.0
1200000000	0.5e8
1299999999	1.0
1300000000	0.5e8
1399999999	1.0
1400000000	0.5e8
1499999999	1.0
1500000000	0.5e8
1599999999	1.0
1600000000	0.5e8
1699999999	1.0
1700000000	0.5e8
1799999999	1.0
1800000000	0.5e8
1899999999	1.0
1900000000	0.5e8
1999999999	1.0
2000000000	0.5e8
2099999999	1.0
2100000000	0.5e8
2199999999	1.0
2200000000	0.5e8
2299999999	1.0
2300000000	0.5e8
2399999999	1.0
2400000000	0.5e8
2499999999	1.0
